story_id,date,time,type,views,reach,replies,shares,total_interactions,profile_visits,follows,taps_forward,taps_back,swipes_forward,exits,exit_rate,permalink,pulled_at
18066113888491000,2026-07-31,13:57,VIDEO,9163,6872,2,0,19,5,0,4482,367,442,726,12.7,https://www.instagram.com/stories/kan_news/3953344710030051964,2026-08-01 08:40
18217429039337033,2026-07-30,14:41,VIDEO,14991,12150,5,7,51,12,0,10263,443,1401,1191,17.3,https://www.instagram.com/stories/kan_news/3952642260537083029,2026-07-31 08:37
17870948235627919,2026-07-30,20:39,VIDEO,11361,8597,0,0,10,16,0,8323,647,335,695,9.1,https://www.instagram.com/stories/kan_news/3952822345353315438,2026-07-31 08:37
17949913611233544,2026-07-30,20:27,IMAGE,11435,9294,2,0,18,3,0,8049,720,350,307,5.7,https://www.instagram.com/stories/kan_news/3952816596011664616,2026-07-31 08:37
17894208735572510,2026-07-30,20:27,VIDEO,12226,10077,8,7,45,13,0,8619,490,710,603,10.7,https://www.instagram.com/stories/kan_news/3952816369015381524,2026-07-31 08:37
17898819159487200,2026-07-30,20:38,VIDEO,11191,9118,6,14,37,9,0,8489,741,274,338,5.5,https://www.instagram.com/stories/kan_news/3952821817584035393,2026-07-31 08:37
18072284684422830,2026-07-29,14:27,VIDEO,4631,3827,4,0,16,1,0,3795,228,145,195,7.3,https://www.instagram.com/stories/kan_news/3951910398562832898,2026-07-30 08:40
18101795996229316,2026-07-29,11:24,VIDEO,5640,4664,4,20,78,7,0,4119,196,314,388,12.4,https://www.instagram.com/stories/kan_news/3951818128622789694,2026-07-30 08:40
18089452880129443,2026-07-29,21:13,VIDEO,3009,2454,0,0,5,5,0,1947,174,101,232,11.1,https://www.instagram.com/stories/kan_news/3952114738292470912,2026-07-30 08:39
18098068352251348,2026-07-29,10:54,VIDEO,6200,5347,1,2,21,14,0,4124,262,706,484,19.2,https://www.instagram.com/stories/kan_news/3951803083864074674,2026-07-30 08:40
18137046100508429,2026-07-29,14:01,VIDEO,7005,5693,8,20,87,2,0,3553,284,235,241,6.8,https://www.instagram.com/stories/kan_news/3951897348027853823,2026-07-30 08:40
18143889718555452,2026-07-29,14:27,VIDEO,4609,3726,4,2,32,7,0,3488,258,87,302,8.4,https://www.instagram.com/stories/kan_news/3951910476081923858,2026-07-30 08:40
17881730889614248,2026-07-29,19:11,VIDEO,3452,2937,2,1,33,2,0,2596,152,68,128,5.7,https://www.instagram.com/stories/kan_news/3952053209102683853,2026-07-30 08:39
18060356627744128,2026-07-29,22:59,VIDEO,2484,2014,3,2,17,1,0,1538,86,128,350,19.2,https://www.instagram.com/stories/kan_news/3952171334058008391,2026-07-30 08:39
18115369130294802,2026-07-29,19:11,IMAGE,3540,2851,0,0,6,5,0,2506,158,73,223,8.4,https://www.instagram.com/stories/kan_news/3952053379744395302,2026-07-30 08:39
18340071256271660,2026-07-29,19:11,VIDEO,3636,2993,0,0,13,1,0,2686,154,120,211,9.1,https://www.instagram.com/stories/kan_news/3952053160725602207,2026-07-30 08:39
18061617269772079,2026-07-29,11:24,IMAGE,5614,4496,5,1,34,10,0,4010,293,225,355,10.3,https://www.instagram.com/stories/kan_news/3951818280431875949,2026-07-30 08:40
18127213573580767,2026-07-29,14:38,VIDEO,4401,3595,7,7,29,8,0,3214,235,179,381,12.7,https://www.instagram.com/stories/kan_news/3951916256579463998,2026-07-30 08:39
18055805963787220,2026-07-28,12:23,IMAGE,7567,5930,1,1,8,6,0,5249,427,271,366,8.4,https://www.instagram.com/stories/kan_news/3951123024170213146,2026-07-29 08:39
18104331698154814,2026-07-28,10:30,IMAGE,8058,6552,2,0,10,3,0,5751,399,364,429,9.8,https://www.instagram.com/stories/kan_news/3951066536550744871,2026-07-29 08:39
