תאריך,שעה,וידאו,סוג מדיה,טקסט הציוץ,קישור,צפיות,לייקים,ריטוויטים,תגובות,שיעור מעורבות %,מקור,tweet_id
2026-07-14,10:09,כן,Video,"הערב במהדורת כאן חדשות | כל העדכונים לפני חצי גמר המונדיאל, וגם - טורף העל שהגיע לחופי ישראל  @Yoav__Zehavi @talberman @TaliMoreno_ @ifatglick ואורלי אלקלעי",https://x.com/kann_news/status/2076927141069955077,5487,7,8,1,0.29,גיליון,2076927141069955077
2026-07-14,20:46,כן,Video,"מחר - אנגליה או ארגנטינה, מי תעלה לגמר? כוחות משטרה כבר הוצבו כדי למנוע עימותים בין אוהדים, על רקע המתיחות בין שתי המדינות | @Yoav__Zehavi  מאטלנטה  #מהדורתכאןחדשות עם @TaliMoreno_",https://x.com/kann_news/status/2077087296587751496,4049,7,2,0,0.22,גיליון,2077087296587751496
2026-07-14,21:15,כן,Video,"80 אלף צופים מחכים בקוצר רוח מחוץ לאצטדיון בדאלאס, שם צרפת וספרד יתחרו על הכרטיס הראשון לגמר המונדיאל | אורלי אלקלעי מארה""ב  #מהדורתכאןחדשות עם @TaliMoreno_",https://x.com/kann_news/status/2077094719864344920,4547,9,0,2,0.26,גיליון,2077094719864344920
2026-07-14,21:27,כן,Video,רגע לפני חצי הגמר: @talberman  על המגרש עם שחקני הנבחרות   #מהדורתכאןחדשות עם @TaliMoreno_,https://x.com/kann_news/status/2077097585882341563,5876,8,2,1,0.2,גיליון,2077097585882341563
2026-07-15,18:04,כן,Video,"מלחמת פוקלנד, יד האלוהים והנקמה של מראדונה: רגע לפני חצי הגמר הערב, הנה הסיפור שהפך את ארגנטינה נגד אנגליה להרבה יותר מכדורגל  @Yoav__Zehavi, שליח כאן חדשות למונדיאל",https://x.com/kann_news/status/2077408879357329534,5396,25,2,5,0.59,גיליון,2077408879357329534
2026-07-15,18:57,כן,Video,שעות לחצי הגמר השני של המונדיאל: האם אנגליה תנצח את ארגנטינה?   #העולם_היום @michalresh @DovGilHar,https://x.com/kann_news/status/2077422207790162168,2914,4,1,2,0.27,גיליון,2077422207790162168
2026-07-15,20:16,כן,Video,"היריבות ההיסטורית, הרגש, והזיכרון מ""יד האלוהים"": @talberman מדווח לקראת קרב הענקיות בחצי גמר המונדיאל בין ארגנטינה לאנגליה  #מהדורתכאןחדשות עם @TaliMoreno_",https://x.com/kann_news/status/2077442255913115960,3552,7,0,3,0.28,גיליון,2077442255913115960
2026-07-15,21:15,כן,Video,"מי תפגוש את ספרד בגמר המונדיאל? @Yoav__Zehavi עם הטירוף של אוהדי אנגליה וארגנטינה לקראת מפגש הענקיות, ואורלי אלקלעי על יום הבסטיליה העצוב של צרפת - והחגיגה הספרדית  #מהדורתכאןחדשות עם @TaliMoreno_",https://x.com/kann_news/status/2077456978469687420,3608,2,1,0,0.08,גיליון,2077456978469687420
2026-07-16,21:38,כן,Video,ביום ראשון: ארגנטינה נגד ספרד בגמר המונדיאל | @sDavidovitch לקראת המשחק הגדול   #מהדורתכאןחדשות עם @TaliMoreno_,https://x.com/kann_news/status/2077825142311260587,5790,14,2,4,0.35,גיליון,2077825142311260587
2026-07-16,22:18,כן,Video,הגביע לא יחזור הביתה: האכזבה של אוהדי אנגליה אחרי ההפסד הדרמטי בחצי גמר המונדיאל  @DovGilHar,https://x.com/kann_news/status/2077835303587311675,7277,30,1,2,0.45,גיליון,2077835303587311675
2026-07-17,12:22,לא,Text,השנייה היקרה בהיסטוריה: החולצה של פלה מגמר מונדיאל 1958 נמכרה בכ-5 מיליון דולר  @itamargalit  https://www.kan.org.il/content/kan-news/sport/1077811/,https://x.com/kann_news/status/2078047579221164421,4191,3,1,2,0.14,גיליון,2078047579221164421
2026-07-17,21:25,כן,Video,גמר המונדיאל: הרשויות בניו ג'רזי נערכות להגעת עשרות אלפי אוהדים למשחק. וכמה עולה כרטיס לגמר? המחירים מזנקים ומגיעים עד לכ-30 אלף דולר לכרטיס | הדיווח של שליחת כאן חדשות לגמר אורלי אלקלעי  #חדשותשישי עם @MoavVardi,https://x.com/kann_news/status/2078184261220237430,5748,3,0,1,0.07,גיליון,2078184261220237430
